"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "JSON with Comments", "XML", "comment", "blank", "total"
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\bentoConstants.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 10, 3, 26
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\index.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 3, 25
"d:\Matteo\Desktop\Progetti\scaletta\src\components\bento\useBentoLayout.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 43, 19, 136
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\DateTimePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 12, 8, 81
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\FormDivider.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 3, 2, 9
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\FormError.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 6, 5, 36
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\FormField.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 4, 2, 10
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\FormHint.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 4, 3, 14
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\FormLabel.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 4, 2, 18
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\FormSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 4, 2, 26
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\InfoField.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 4, 3, 19
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\PasswordField.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 10, 6, 93
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\TextArea.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 12, 6, 81
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\TextField.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 12, 7, 89
"d:\Matteo\Desktop\Progetti\scaletta\src\components\form\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Matteo\Desktop\Progetti\scaletta\src\components\groups\CreateGroupButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 3, 3, 27
"d:\Matteo\Desktop\Progetti\scaletta\src\components\groups\EmptyGroupsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 6, 5, 66
"d:\Matteo\Desktop\Progetti\scaletta\src\components\groups\GroupCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 22, 17, 161
"d:\Matteo\Desktop\Progetti\scaletta\src\components\groups\GroupInfoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 161, 0, 0, 0, 20, 16, 197
"d:\Matteo\Desktop\Progetti\scaletta\src\components\groups\JoinGroupButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 3, 3, 27
"d:\Matteo\Desktop\Progetti\scaletta\src\components\groups\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Matteo\Desktop\Progetti\scaletta\src\components\icons\AlertCircleIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
